film_id,film_name,actor_id,actor_name
Q4500624,Хочу жениться,Q94241,Şamil Süleymanlı
Q4494270,Ха-би-ассы,Q4272790,Igor Lyakh
Q4496773,Хаш с музыкой,Q16374675,Samandar Rzayev
Q4501134,Forgive Me If I Die,Q2042518,Fakhraddin Manafov
Q4446001,Bag of the Collector,Q400614,Georgi Burkov
Q4498856,Хождение по мукам,Q2623285,Yury Solomin
Q4493029,Front in the Rear of the Enemy,Q12043258,Oto Ševčík
Q4493029,Front in the Rear of the Enemy,Q4536859,Vadim Yakovlev
Q4493029,Front in the Rear of the Enemy,Q4064829,Valentina Ananina
Q4493029,Front in the Rear of the Enemy,Q4284539,Yevgeny Matveyev
Q4447940,Son,Q4231370,Pyotr Konstantinov
Q4497042,Khevsurian Ballad,Q2622599,Dodo Abashidze
Q4494270,Ха-би-ассы,Q1081714,Vladimir Mashkov
Q4501232,"Guard Me, My Talisman",Q1966970,Tatyana Drubich
Q4501232,"Guard Me, My Talisman",Q2628071,Mikhail Kozakov
Q4500624,Хочу жениться,Q12839701,Fərhad İsrafilov
Q4493029,Front in the Rear of the Enemy,Q12055916,Stanislav Fišer
Q4500624,Хочу жениться,Q4056541,Aliagha Aghayev
Q4500624,Хочу жениться,Q4279840,Hasan Mammadov
Q4498856,Хождение по мукам,Q4348545,Svetlana Penkina
Q4493029,Front in the Rear of the Enemy,Q3490505,Jiří Krampol
Q4493029,Front in the Rear of the Enemy,Q4402599,Raisa Ryazanova
Q4500624,Хочу жениться,Q16373254,Ruhsanə Topçuyeva
Q4496773,Хаш с музыкой,Q12849663,Şükufə Yusupova
Q4447757,"Счастлив, кто любил…",Q4066858,Olga Anokhina
Q4533095,We Didn't Learn This,Q2068051,Boris Tokarev
Q4497894,Хирургия,Q4453982,Valentina Petrovna Telegina
Q4448341,Detective,Q4497702,Boris Khimichev
Q4501232,"Guard Me, My Talisman",Q4057207,Aleksandr Adabashyan
Q4500370,"Хотите — верьте, хотите — нет…",Q4057952,Anatoly Adoskin
Q4501232,"Guard Me, My Talisman",Q314067,Oleg Yankovsky
Q4501232,"Guard Me, My Talisman",Q461085,Aleksandr Abdulov
Q4533095,We Didn't Learn This,Q4402152,Natalya Rychagova
Q4500624,Хочу жениться,Q12840770,Kamil Məhərrəmov
Q4493029,Front in the Rear of the Enemy,Q1996390,Aleksandr Yakovlevich Mikhailov
Q4449759,Mysterious Discovery,Q4360680,Andrey Petrov
Q4498856,Хождение по мукам,Q4327048,Mikhail Nozhkin
Q4501695,Хроника ночи,Q4397484,Anatoliy Romashin
Q4447946,Iriston's Son,Q4123341,Nikolay Volkov
Q4493029,Front in the Rear of the Enemy,Q4497702,Boris Khimichev
Q4500624,Хочу жениться,Q16375879,Veliehd Veliyev
Q4496773,Хаш с музыкой,Q1195686,Yashar Nuri
Q4448341,Detective,Q540247,Igor Kvasha
Q4501232,"Guard Me, My Talisman",Q239652,Bulat Okudzhava
Q4498878,The Master of Taiga,Q1660403,Valeri Zolotukhin
Q4447642,Сфинкс,Q1966992,Aleksei Petrenko
Q4498856,Хождение по мукам,Q282818,Irina Alfyorova
Q4447946,Iriston's Son,Q384090,Pavel Kadochnikov
Q4493029,Front in the Rear of the Enemy,Q103948,Hannjo Hasse
Q4448341,Detective,Q4422290,Nikolai Skorobogatov
